Freq	Word	Lemma
1	бежя	бежати
1	бежят	бежати
1	бежяти	бежати
1	бежяша	бежати
3	безаконновахомъ	беззаконновати
1	безаконноваша	беззаконновати
1	безаконнующих	беззаконновати
1	безаконовахом	беззаконновати
1	безаконовахъ	беззаконновати
1	беззаконновавших	беззаконновати
1	беззаконновалъ	беззаконновати
1	беззаконновати	беззаконновати
3	беззаконновахом	беззаконновати
1	беззаконновахъ	беззаконновати
2	беззаконнующая	беззаконновати
1	беззаконовавше	беззаконновати
1	беззаконовал	беззаконновати
1	беззаконовати	беззаконновати
1	беззаконовахъ	беззаконновати
1	бѣзаконовахом	беззаконовати
1	безаконствовати	беззаконствовати
1	беззаконствующимъ	беззаконствовати
13	безмлъствовати	безмолствовати
1	безмлъствует	безмолствовати
1	безмлъствующе	безмолствовати
1	безмлъствующимъ	безмолствовати
1	безмлъствующу	безмолствовати
1	безмлъствующю	безмолствовати
1	безмолвоваше	безмолствовати
1	безмолствова	безмолствовати
9	безмолствовати	безмолствовати
1	безмолствующе	безмолствовати
1	безмолствующим	безмолствовати
1	безмолствующу	безмолствовати
3	безмолствуя	безмолствовати
9	безмолъствовати	безмолствовати
2	безмолъствуетъ	безмолствовати
2	безмолъствуеть	безмолствовати
1	безмолъствующимъ	безмолствовати
3	безмолъствующу	безмолствовати
3	безмольствовати	безмолствовати
1	безмольствоваше	безмолствовати
1	безъмолствуют	безмолствовати
1	безъмолъствовати	безмолствовати
1	безумствовали	безумствовати
1	безумствовати	безумствовати
1	безумствуеши	безумствовати
1	безумствуйте	безумствовати
1	безумьствующая	безумствовати
1	белезнуйте	белезновати
2	белил	белити
1	беляхуся	белитися
1	белообразуяся	белообразоватися
7	берег	беречи
3	берегите	беречи
48	берегли	беречи
1	береглъ	беречи
6	берегут	беречи
8	берегутъ	беречи
7	берегучи	беречи
4	берегъ	беречи
1	берегь	беречи
3	бережем	беречи
8	бережет	беречи
3	бережете	беречи
2	бережетъ	беречи
1	бережешь	беречи
1	берези	беречи
1	беретчи	беречи
2	береч	беречи
4	БЕРЕЧИ	беречи
360	беречи	беречи
111	беречь	беречи
1	брѣг	беречи
1	брѣгоша	беречи
1	брѣгуще	беречи
3	бречи	беречи
14	брещи	беречи
3	берегися	беречися
1	берегитеся	беречися
2	береглися	беречися
7	берегся	беречися
1	берегутца	беречися
1	Берегутца	беречися
1	бережася	беречися
1	бережется	беречися
1	бережетца	беречися
1	берекся	беречися
11	беречися	беречися
1	бесящаго	бесити
2	беситися	беситися
1	бесится	беситися
1	бесясь	беситися
1	бесяся	беситися
1	бесяшихся	беситися
3	бесящеся	беситися
2	бесящихся	беситися
1	бесящуся	беситися
1	бесновати	бесновати
1	беснующаго	бесновати
1	беснующем	бесновати
1	беснуется	бесноватися
1	беснующагося	бесноватися
3	беснующейся	бесноватися
1	БЕСНУЮЩЕМСЯ	бесноватися
1	беснующеся	бесноватися
1	беснующимся	бесноватися
4	беснующихся	бесноватися
1	беснующуся	бесноватися
1	безстудствуешь	бесстудствовати
1	безстудствують	бесстудствовати
1	безстудствуя	бесстудствовати
1	бестудствовати	бесстудствовати
1	безстыдствуют	бесстыдствовати
1	безчествовавъ	бесчествовати
3	безчествовал	бесчествовати
5	безчествовали	бесчествовати
1	безчествованы	бесчествовати
3	безчествовати	бесчествовати
1	безчествуемъ	бесчествовати
3	безчествует	бесчествовати
2	безчествуетъ	бесчествовати
1	безчествуешь	бесчествовати
2	безчествуют	бесчествовати
1	безчестуючи	бесчествовати
1	безчестьвовали	бесчествовати
1	безъществующа	бесчествовати
1	бесчествать	бесчествовати
1	бесчествова	бесчествовати
6	бесчествовали	бесчествовати
1	бесчествовалъ	бесчествовати
1	бесчествует	бесчествовати
1	бесчествуйте	бесчествовати
1	бесчествуют	бесчествовати
1	бесчествуютъ	бесчествовати
1	бесчестовали	бесчествовати
1	бечествовал	бесчествовати
1	беществали	бесчествовати
2	беществовали	бесчествовати
1	безсчестит	бесчестити
6	безчестил	бесчестити
6	безчестили	бесчестити
3	безчестилъ	бесчестити
9	безчестит	бесчестити
4	безчестити	бесчестити
3	безчеститъ	бесчестити
7	безчестить	бесчестити
1	безчестя	бесчестити
1	безчестят	бесчестити
1	безчестятъ	бесчестити
1	безчестяху	бесчестити
3	бесчестил	бесчестити
2	бесчестили	бесчестити
1	бесчестилъ	бесчестити
7	бесчестит	бесчестити
2	бесчеститъ	бесчестити
2	бесчестить	бесчестити
2	бесчестиши	бесчестити
1	бесчестишь	бесчестити
1	бесчестят	бесчестити
2	бѣсчеся	бесчестити
1	бесчещены	бесчестити
1	бесщестити	бесчестити
1	безчещивалъ	бесчещивати
1	безчиновать	бесчиновати
1	бесчиновати	бесчиновати
1	бесчиноваша	бесчиновати
1	безчинствовати	бесчинствовати
1	безчинствует	бесчинствовати
3	безчинствуютъ	бесчинствовати
1	безчинъствующе	бесчинствовати
1	безчиньствуетъ	бесчинствовати
1	бесчинствующе	бесчинствовати
1	бесчиньствуютъ	бесчинствовати
1	БЕСѢДАВАТИ	бесѣдовати
1	бесѣдавшу	бесѣдовати
1	беседова	бесѣдовати
15	бесѣдова	бесѣдовати
1	бѣседова	бесѣдовати
2	бесѣдовааху	бесѣдовати
3	бесѣдовааше	бесѣдовати
1	беседовав	бесѣдовати
1	бесѣдовавшаго	бесѣдовати
4	бесѣдовавше	бесѣдовати
1	бѣседовавше	бесѣдовати
3	бесѣдовавши	бесѣдовати
1	бесѣдовавшимъ	бесѣдовати
8	бесѣдовавъ	бесѣдовати
1	бѣсѣдовавъ	бесѣдовати
1	беседовал	бесѣдовати
2	бесѣдовали	бесѣдовати
1	бесѣдовалъ	бесѣдовати
1	бѣседованныхъ	бесѣдовати
2	бесѣдоваста	бесѣдовати
4	беседовати	бесѣдовати
48	бесѣдовати	бесѣдовати
2	бѣседовати	бесѣдовати
1	бесѣдовать	бесѣдовати
3	бесѣдовах	бесѣдовати
1	бесѣдовахом	бесѣдовати
4	бесѣдоваху	бесѣдовати
1	беседоваше	бесѣдовати
36	бесѣдоваше	бесѣдовати
1	бѣсѣдоваше	бесѣдовати
1	бесѣдуа	бесѣдовати
7	бесѣдует	бесѣдовати
7	бесѣдуетъ	бесѣдовати
1	бесѣдуеть	бесѣдовати
4	бесѣдуеши	бесѣдовати
1	бесѣдуй	бесѣдовати
1	бесѣдуйте	бесѣдовати
1	бесѣдууще	бесѣдовати
1	бесѣдуще	бесѣдовати
6	бесѣдую	бесѣдовати
1	бесѣдуют	бесѣдовати
1	бесѣдуютъ	бесѣдовати
1	бесѣдують	бесѣдовати
4	бесѣдующа	бесѣдовати
1	беседующе	бесѣдовати
7	бесѣдующе	бесѣдовати
1	бесѣдующема	бесѣдовати
2	бесѣдующи	бесѣдовати
6	бесѣдующим	бесѣдовати
2	бесѣдующима	бесѣдовати
1	беседующимъ	бесѣдовати
7	бесѣдующимъ	бесѣдовати
1	бѣседующимъ	бесѣдовати
1	бесѣдующих	бесѣдовати
1	бесѣдующихъ	бесѣдовати
5	бесѣдующу	бесѣдовати
3	беседуя	бесѣдовати
18	бесѣдуя	бесѣдовати
1	бѣседуя	бесѣдовати
1	бесѣдуяше	бесѣдовати
13	бивал	бивати
30	бивали	бивати
24	бивалъ	бивати
1	бивати	бивати
2	бивался	биватися
3	бирала	бирати
13	биралъ	бирати
1	бирашася	биратися
2	бирывали	бирывати
1	Бѣи	бити
3	беите	бити
2	бей	бити
1	Бейте	бити
8	бейте	бити
2	бет	бити
2	бетъ	бити
1	беть	бити
6	біа	бити
2	биасте	бити
1	биахи	бити
8	биаху	бити
4	біаху	бити
1	биаша	бити
1	Биаше	бити
8	биаше	бити
8	біаше	бити
58	бив	бити
1	Бивше	бити
15	бивше	бити
1	бивши	бити
50	бивъ	бити
1	бивъше	бити
1	бивьше	бити
11	бием	бити
3	биема	бити
4	биеми	бити
2	біеми	бити
1	биемо	бити
1	биему	бити
2	біему	бити
6	биемъ	бити
4	біемъ	бити
1	биемый	бити
1	биемых	бити
9	биен	бити
1	биени	бити
1	біени	бити
1	биенных	бити
1	биено	бити
1	биену	бити
2	биенъ	бити
2	біенъ	бити
1	біенымъ	бити
1	Биет	бити
48	биет	бити
1	биете	бити
1	Биетъ	бити
11	биетъ	бити
3	біетъ	бити
3	биеть	бити
3	биеши	бити
2	бии	бити
2	бий	бити
1	Бийте	бити
118	Бил	бити
697	бил	бити
10	Била	бити
37	била	бити
126	Били	бити
967	били	бити
10	било	бити
49	Билъ	бити
393	билъ	бити
66	бит	бити
14	бита	бити
1	битая	бити
3	БИТИ	бити
1363	бити	бити
10	бито	бити
3	битой	бити
21	битъ	бити
14	биты	бити
1	битым	бити
3	битых	бити
2	битыхъ	бити
2	Бить	бити
349	бить	бити
1	бихомъ	бити
3	Биша	бити
303	биша	бити
16	бише	бити
2	бишъ	бити
1	Бишя	бити
7	бишя	бити
1	Бию	бити
25	бию	бити
1	блю	бити
23	биют	бити
8	биютъ	бити
4	біютъ	бити
2	биють	бити
3	биючи	бити
4	биюща	бити
1	биющаго	бити
1	Биюще	бити
68	биюще	бити
21	біюще	бити
2	биющему	бити
6	биющи	бити
3	биющим	бити
1	біющимъ	бити
1	біющихъ	бити
17	бия	бити
1	бія	бити
17	бияху	бити
2	бияхут	бити
1	бияхутъ	бити
1	бияча	бити
9	бияше	бити
1	бияшѣ	бити
1	бияще	бити
1	бъем	бити
2	бъемъ	бити
1	Бъет	бити
5	бъет	бити
1	бъетъ	бити
1	бъю	бити
2	бъют	бити
1	бьа	бити
2	бьаху	бити
5	Бьем	бити
65	бьем	бити
1	бьема	бити
7	бьеми	бити
187	бьемъ	бити
1	бьемь	бити
2	бьен	бити
1	бьенаго	бити
1	бьени	бити
4	бьенъ	бити
1	бьеным	бити
1	бьенымъ	бити
6	Бьет	бити
395	бьет	бити
2	бьета	бити
10	бьете	бити
4	Бьетъ	бити
386	бьетъ	бити
8	бьеть	бити
3	бьеш	бити
1	бьеши	бити
5	бьешь	бити
9	Бью	бити
533	бью	бити
4	Бьют	бити
202	бьют	бити
1	бьюти	бити
10	Бьютъ	бити
408	бьютъ	бити
3	бьють	бити
27	бьючи	бити
3	бьюща	бити
89	бьюще	бити
1	бьющема	бити
1	Бьющи	бити
6	бьющи	бити
1	бьющим	бити
2	Бьющим	бити
1	бьющимъ	бити
1	Бьющимъ	бити
1	Бьющу	бити
8	бья	бити
1	бьяхоуть	бити
15	бьяху	бити
5	бьяхут	бити
1	бьяхутъ	бити
3	бьяхуть	бити
12	бьяше	бити
1	бю	бити
1	бютъ	бити
1	бялъ	бити
1	бять	бити
1	беися	битися
1	беитеся	битися
2	бейся	битися
1	бейтеся	битися
1	биахуся	битися
16	біахуся	битися
1	біахутся	битися
2	биашеся	битися
4	біашеся	битися
26	бився	битися
2	бившася	битися
5	бившемся	битися
1	Бившеся	битися
30	бившеся	битися
1	Бившимся	битися
14	бившимся	битися
2	бившимъся	битися
6	бившися	битися
1	бившихся	битися
3	бивъся	битися
3	бивъшеся	битися
2	биемся	битися
6	біемся	битися
2	биется	битися
1	біется	битися
1	бийся	битися
1	бийтеся	битися
1	билася	битися
54	бились	битися
86	билися	битися
1	билса	битися
1	БИЛСЯ	битися
2	Бился	битися
89	бился	битися
1	билъся	битися
1	бись	битися
64	бися	битися
38	битись	битися
1	БИТИСЯ	битися
292	битися	битися
9	бится	битися
2	битъся	битися
3	биться	битися
1	битяся	битися
1	бихомся	битися
11	бишась	битися
5	Бишася	битися
205	бишася	битися
1	бишися	битися
18	бишяся	битися
4	биются	битися
1	біются	битися
1	биютца	битися
1	біються	битися
1	биючися	битися
1	биюшеся	битися
1	биющагося	битися
1	биющемся	битися
3	биющесь	битися
33	биющеся	битися
7	біющеся	битися
1	Биющимася	битися
1	биющимся	битися
4	біющимся	битися
6	биющися	битися
4	биющихся	битися
3	біющуся	битися
4	бияся	битися
3	біяся	битися
46	бияхуся	битися
1	біяхуся	битися
1	бияшесь	битися
12	бияшеся	битися
1	біяшеся	битися
1	бъющеся	битися
1	бъяся	битися
2	быощеся	битися
1	быяхуся	битися
1	быяхутся	битися
1	бьахоуся	битися
8	бьахуся	битися
2	бьашеся	битися
8	бьемся	битися
6	бьется	битися
1	бьеться	битися
3	бьютса	битися
17	бьются	битися
6	бьютца	битися
1	бьючися	битися
1	бьюшеся	битися
4	бьющася	битися
5	бьющемся	битися
69	бьющеся	битися
1	бьющиися	битися
1	Бьющимся	битися
13	бьющимся	битися
2	бьющися	битися
1	бьющихся	битися
2	бьющуся	битися
1	бьяса	битися
8	бьяся	битися
58	бьяхуся	битися
13	бьяхутся	битися
1	бьяшася	битися
11	бьяшеся	битися
4	бьяшется	битися
1	бичеван	бичевати
1	бичеватися	бичеватися
3	бичуются	бичеватися
1	бговолиш	благоволити
1	благовалившаго	благоволити
2	Благоволи	благоволити
43	благоволи	благоволити
1	благоволившаго	благоволити
1	благоволившоу	благоволити
1	благоволившу	благоволити
1	благоволивьша	благоволити
10	благоволил	благоволити
3	благоволила	благоволити
3	благоволилъ	благоволити
1	Благоволит	благоволити
37	благоволит	благоволити
3	благоволите	благоволити
2	благоволити	благоволити
1	Благоволитъ	благоволити
25	благоволитъ	благоволити
1	благоволихъ	благоволити
1	благоволиш	благоволити
3	благоволиша	благоволити
3	благоволиши	благоволити
1	благоволишь	благоволити
1	благоволяше	благоволити
3	благоволящу	благоволити
2	блговоли	благоволити
1	блговолил	благоволити
2	блговолилъ	благоволити
2	блговолит	благоволити
2	блговолишь	благоволити
2	благовѣствуетъ	благовѣствовати
1	благовествую	благовѣствовати
1	благовѣствую	благовѣствовати
3	благовѣствующая	благовѣствовати
1	благовѣствующихъ	благовѣствовати
1	благовѣствуя	благовѣствовати
2	благовѣстую	благовѣствовати
1	благовѣствовашеся	благовѣствоватися
2	благовѣсти	благовѣстити
1	благовестил	благовѣстити
1	благовѣстил	благовѣстити
8	благовѣстили	благовѣстити
2	благовестилъ	благовѣстити
1	благовѣстилъ	благовѣстити
1	Благовестит	благовѣстити
1	благовѣстит	благовѣстити
1	Благовѣстит	благовѣстити
1	благовѣстите	благовѣстити
8	благовестити	благовѣстити
21	благовѣстити	благовѣстити
5	благовѣститъ	благовѣстити
2	благовестить	благовѣстити
11	благовѣстить	благовѣстити
2	благовѣстихом	благовѣстити
1	благовѣстихомъ	благовѣстити
1	благовѣстиша	благовѣстити
1	благовѣстоваша	благовѣстити
3	благовестят	благовѣстити
1	благовестятъ	благовѣстити
99	благовѣстятъ	благовѣстити
1	благовѣщеное	благовѣстити
1	благовѣстися	благовѣститися
1	благоглаголати	благоглаголати
1	благоглаголенъ	благоглаголати
1	благоготовляшеся	благоготовлятися
2	Благодари	благодарити
5	благодари	благодарити
10	благодарив	благодарити
10	благодаривше	благодарити
19	благодаривъ	благодарити
5	благодарил	благодарити
2	благодарили	благодарити
1	благодарилъ	благодарити
5	Благодарим	благодарити
8	благодарим	благодарити
1	Благодаримъ	благодарити
6	благодаримъ	благодарити
1	благодаримь	благодарити
2	благодарит	благодарити
20	благодарити	благодарити
1	благодарить	благодарити
1	благодарих	благодарити
1	благодарихомъ	благодарити
1	благодарихъ	благодарити
30	благодариша	благодарити
31	благодарю	благодарити
34	Благодарю	благодарити
1	глагодарю	благодарити
3	Благодаря	благодарити
53	благодаря	благодарити
1	благодаряаше	благодарити
1	благодаряста	благодарити
6	благодаряху	благодарити
30	благодаряше	благодарити
1	Благодаряще	благодарити
61	благодаряще	благодарити
7	благодарящи	благодарити
1	блгодарит	благодарити
1	блгодарю	благодарити
1	благодарится	благодаритися
2	благодаровати	благодаровати
1	благодарствивъ	благодарствити
1	благодадарствуа	благодарствовати
1	благодарствова	благодарствовати
1	благодарствовав	благодарствовати
1	благодарствовавше	благодарствовати
10	благодарствовал	благодарствовати
1	благодарствовати	благодарствовати
5	благодарствоваху	благодарствовати
1	благодарствоваша	благодарствовати
2	благодарствуа	благодарствовати
2	благодарствуемъ	благодарствовати
2	Благодарствую	благодарствовати
4	благодарствую	благодарствовати
3	благодарствующе	благодарствовати
2	благодарствующи	благодарствовати
29	благодарствуя	благодарствовати
1	благодаръствоваху	благодарствовати
1	благодаръствуем	благодарствовати
1	благодарьствуй	благодарствовати
2	благодарьствую	благодарствовати
2	благодарьствуя	благодарствовати
1	благодарьсътвуя	благодарствовати
1	Блгодарствую	благодарствовати
1	блгодарствꙋю	благодарствовати
1	блогодарствова	благодарствовати
1	благоденствуютъ	благоденствовати
1	благоденьствоваху	благоденствовати
1	благоденьствовахуть	благоденствовати
1	блгодѣнствуи	благоденствовати
1	блгодѣнъствуи	благоденствовати
1	благодушьствуяй	благодушествовати
1	благожелаемаго	благожелати
1	благожелаемыхъ	благожелати
13	благоизволи	благоизволити
1	благоизволившаго	благоизволити
1	благоизволившу	благоизволити
2	благоизволили	благоизволити
1	благоизволилъ	благоизволити
2	благоизволит	благоизволити
1	благоизволитъ	благоизволити
3	благоизволих	благоизволити
4	благоизволихъ	благоизволити
1	благоизволиш	благоизволити
2	благоизволиши	благоизволити
1	благоизволишь	благоизволити
1	благоизволят	благоизволити
1	блгоизволишь	благоизволити
2	благоизволяет	благоизволяти
1	благоизволяют	благоизволяти
1	благоимѣтися	благоимѣтися
1	Благообрадован	благообрадовати
2	благоплодити	благоплодити
1	благоприступимъ	благоприступити
1	благоприемшему	благоприяти
